,event_date,event_time_cst,home_id,away_id,venue_id
58,04/03/2023,06:45 PM,97,122,84
59,04/04/2023,07:05 PM,105,114,92
60,04/04/2023,07:10 PM,110,101,97
61,04/04/2023,08:40 PM,112,117,99
62,04/04/2023,08:40 PM,115,98,102
63,04/04/2023,08:40 PM,119,96,106
64,04/04/2023,09:10 PM,103,102,90
65,04/04/2023,03:10 PM,115,98,102
66,04/04/2023,05:40 PM,106,123,93
67,04/04/2023,05:40 PM,109,120,96
68,04/04/2023,06:05 PM,111,121,98
69,04/04/2023,06:05 PM,124,100,111
70,04/04/2023,06:10 PM,104,116,91
71,04/04/2023,06:40 PM,108,118,95
72,04/04/2023,06:40 PM,95,99,82
73,04/04/2023,06:45 PM,97,122,84
74,04/05/2023,07:05 PM,105,114,92
75,04/05/2023,07:10 PM,110,101,97
76,04/05/2023,08:40 PM,112,117,99
77,04/05/2023,08:40 PM,119,96,106
78,04/05/2023,09:10 PM,103,102,90
79,04/05/2023,12:05 PM,111,121,98
80,04/05/2023,12:05 PM,124,100,111
81,04/05/2023,12:10 PM,109,120,96
82,04/05/2023,12:15 PM,97,122,84
83,04/05/2023,12:35 PM,104,116,91
84,04/05/2023,12:40 PM,95,99,82
85,04/05/2023,01:05 PM,105,114,92
86,04/05/2023,01:10 PM,107,113,94
87,04/05/2023,01:10 PM,110,101,97
88,04/05/2023,02:37 PM,112,117,99
89,04/05/2023,03:10 PM,119,96,106
90,04/05/2023,06:40 PM,108,118,95
91,04/06/2023,12:10 PM,101,104,88
92,04/06/2023,01:10 PM,108,118,95
93,04/06/2023,01:10 PM,107,113,94
94,04/06/2023,03:10 PM,102,111,89
95,04/06/2023,06:20 PM,122,115,109
96,04/07/2023,09:10 PM,98,103,85
97,04/07/2023,12:10 PM,99,109,86
98,04/07/2023,01:20 PM,123,105,110
99,04/07/2023,02:05 PM,100,106,87
100,04/07/2023,02:05 PM,114,124,101
101,04/07/2023,03:10 PM,120,110,107
102,04/07/2023,03:10 PM,117,119,104
103,04/07/2023,03:12 PM,116,107,103
104,04/07/2023,03:35 PM,113,108,100
105,04/07/2023,05:40 PM,121,112,108
106,04/07/2023,06:20 PM,122,115,109
107,04/08/2023,07:10 PM,95,97,82
108,04/08/2023,07:40 PM,102,111,89
109,04/08/2023,08:38 PM,96,118,83
110,04/08/2023,08:40 PM,98,103,85
111,04/08/2023,01:10 PM,120,110,107
112,04/08/2023,03:05 PM,113,108,100
113,04/08/2023,03:05 PM,123,105,110
114,04/08/2023,03:05 PM,100,106,87
115,04/08/2023,03:10 PM,101,104,88
116,04/08/2023,03:10 PM,121,112,108
117,04/08/2023,03:10 PM,99,109,86
118,04/08/2023,05:10 PM,117,119,104
119,04/08/2023,05:35 PM,116,107,103
120,04/08/2023,06:05 PM,114,124,101
121,04/08/2023,06:10 PM,95,97,82
122,04/08/2023,06:20 PM,122,115,109
123,04/09/2023,07:10 PM,98,103,85
124,04/09/2023,07:10 PM,102,111,89
125,04/09/2023,08:07 PM,96,118,83
